checkpoint_label,seed,source,cell,count,reward_mean,reward_std,reward_median,value_mean,value_std,value_median,logprob_mean,logprob_std,logprob_median,advantage_mean,advantage_std,advantage_median,fraction_negative
fresh,123,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.6039589941501617,0.0006794160214542603,-0.6039574444293976,-3.1504460871219635,0.0011390418543290692,-3.1508283615112305,0.10835595056414604,0.03742149824103106,0.10863996297121048,0.0
fresh,123,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.604602058728536,0.0005388620351504064,-0.6046957969665527,-3.1499401926994324,0.0017123025137434113,-3.1498645544052124,0.10937331803143024,0.3011343512476591,0.004396103322505951,0.5
fresh,123,pure_pi,PASS_fail,30,-0.0020174443563691644,0.008523388132263979,-0.005,-0.6046241680781047,0.01692190041470868,-0.6046957969665527,-2.187175154685974,0.09079801735805867,-2.2062160968780518,0.07344190776348114,0.10627061728666518,0.024541443213820457,0.2
fresh,123,pure_pi,OTHER,3049,-0.013939032645164207,0.09280550418035985,-0.005086247666402444,-0.6845813413923707,0.08990681950082503,-0.6843679547309875,-1.8183391371020414,0.22671833631197613,-1.8186259269714355,0.059705469698824475,0.15863708037339802,0.027063559740781784,0.3089537553296163
fresh,123,pure_pi,MOVE_safe,805,0.00046710202291206607,0.010858852651446989,-0.0050360465497457365,-0.6222253988988651,0.04683426075252252,-0.6213204264640808,-2.118936210093291,0.1326963387006916,-2.138223648071289,0.07091263002276374,0.12957981260059215,0.045792222023010254,0.22981366459627328
fresh,123,pure_pi,PASS_complete,2,-0.005,0.0,-0.005,-0.6039473116397858,0.0006624758243560791,-0.6039473116397858,-2.206366539001465,0.0007753372192382812,-2.206366539001465,0.2204456552863121,0.001216001808643341,0.2204456552863121,0.0
mixscript,123,probe_force,PASS_fail,17,-0.0017990015943246795,0.007022624106032639,-0.005,-0.46693697922370014,0.0004556800584159835,-0.4670478105545044,-2.1981946861042694,0.00043013989551248427,-2.198159694671631,0.053094239138505035,0.09593836739157778,0.07888085395097733,0.47058823529411764
mixscript,123,probe_force,PASS_complete,3,-0.005,0.0,-0.005,-0.46685895323753357,0.0007090542976471031,-0.467232346534729,-2.1982504526774087,0.00017886863860711716,-2.198232412338257,0.07479955380161603,0.08231871123353388,0.07402221858501434,0.3333333333333333
mixscript,123,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.4666494354605675,0.0005731705677813826,-0.4667510837316513,-3.560117483139038,0.0010722973003019234,-3.5602738857269287,0.050590026658028364,0.01111288386164232,0.04514339007437229,0.0
mixscript,123,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.46710916856924695,0.00034291084214129044,-0.46712565422058105,-3.5603343645731607,0.0011166858083585837,-3.560579538345337,0.08209452964365482,0.28268311071935054,0.06596539169549942,0.4166666666666667
mixscript,123,pure_pi,PASS_fail,28,-0.0032664406199110975,0.00576857774265022,-0.005,-0.49104610830545425,0.0346098652006328,-0.4672723859548569,-2.21371762241636,0.05298887849099288,-2.198063850402832,0.03880251691277538,0.08324294395330181,0.03482888266444206,0.39285714285714285
mixscript,123,pure_pi,MOVE_safe,2923,-0.0005100580594169401,0.013320144905085811,-0.005002313987252174,-0.5743803726537889,0.07356260172479939,-0.5583659410476685,-1.9427254275022774,0.25640345857063135,-1.9988571405410767,0.05931839360060566,0.1641130189986528,0.036745667457580566,0.3616147793362983
mixscript,123,pure_pi,OTHER,764,-0.0466459581764853,0.18018131605775234,-0.005248147514126515,-0.6406116523043648,0.06429367047870135,-0.6390874683856964,-2.101787408921107,0.122286419393723,-2.1018571853637695,0.0012145406743011764,0.13513239887963027,0.009846934117376804,0.4410994764397906
mixscript,123,pure_pi,PASS_complete,3,-0.005,0.0,-0.005,-0.46685895323753357,0.0007090542976471031,-0.467232346534729,-2.1982504526774087,0.00017886863860711716,-2.198232412338257,0.07479955380161603,0.08231871123353388,0.07402221858501434,0.3333333333333333
fresh,7,probe_force,PASS_fail,20,-0.001859632947190304,0.007697105678748426,-0.005,-0.47411233484745025,0.0002841590465211286,-0.4741440713405609,-3.3203905701637266,0.0010194009783214132,-3.3204437494277954,0.11535518616437912,0.07536233592088239,0.12168184667825699,0.0
fresh,7,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.4739140719175339,0.00030173367850897166,-0.47405970096588135,-3.6611545979976654,0.0010921450125370529,-3.6613434553146362,0.04402853758074343,0.02249823597265082,0.03472469747066498,0.0
