evaluation_id,checkpoint_sha256,scenario,algorithm,step,env_version,observation_schema_version,action_schema_version,learning_rate,goal_rate_pct,mean_reward,std_reward,shots_per_ep,turnover_rate,episodes,deterministic,checkpoint_path,provenance,env_hash
,,93a96307a860b8e2,9c5608b771178118ca16840db105dbf69e2b95762745a0879bd034d4be3c79e7,academy_3_vs_1_with_keeper,,,,MAPPO,4864,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.0774,0.1001,0.00,
,,93a96307a860b8e2,9c5608b771178118ca16840db105dbf69e2b95762745a0879bd034d4be3c79e7,academy_3_vs_1_with_keeper,,,,MAPPO,4864,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.0774,0.1001,0.00,
93a96307a860b8e2,9c5608b771178118ca16840db105dbf69e2b95762745a0879bd034d4be3c79e7,academy_3_vs_1_with_keeper,MAPPO,4864,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.0774,0.1001,0.00,100.00,10,True,training/models/mappo_academy_3_vs_1_with_keeper_smoke.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T04:56:34.441499|cmd=-c,d1cede628d04
3892393eb6598f62,29cbd768cb2e0137b7656286a5beab40ef4764989a14091ef6d0b994c9809aef,academy_3_vs_1_with_keeper,MAPPO,50176,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.1341,0.1764,3.40,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_50176.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T07:49:15.810309|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
9eee44312091adaf,afdc7528a2687fe4fde0bbb1e5c84e37517c8e9f5468139e794ea0b2614e3ac8,academy_3_vs_1_with_keeper,MAPPO,100352,3.1.0,simple115_v3_role,discrete19_v1,0.0003,26.67,0.4875,0.5617,27.57,73.33,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_100352.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T07:53:28.734173|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
a527c730998672e6,10f7ae8d9eda2b62c39d6c3be7de514351db936c26654819feef10db816435ce,academy_3_vs_1_with_keeper,MAPPO,150528,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2263,0.1725,3.23,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_150528.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T07:57:58.348624|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
7ef28992cf0796d0,7a5bfc93e28058c41c91b8438d47481fba2a5e79db0efbf54d8984200e4d0278,academy_3_vs_1_with_keeper,MAPPO,200704,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2079,0.1730,23.00,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_200704.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:02:14.723664|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
8face3bafe27b948,8f27ff99b77de650b55ebea8a235b2e262d3d6d15313dba4b4f7554ecc81daf4,academy_3_vs_1_with_keeper,MAPPO,250880,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2073,0.1734,8.33,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_250880.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:06:54.525248|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
13cf5c686a83d23e,4c4229518987e48437a8ccd1e8521eebc96af1b188011889f49d3763adf9a5eb,academy_3_vs_1_with_keeper,MAPPO,301056,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.0829,0.1403,12.87,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_301056.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:11:02.115593|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
d86e2ee2712be990,846c78f9815e0c21ac184a42a80d8cc6446e66752484240b43b64daabab0ff77,academy_3_vs_1_with_keeper,MAPPO,351232,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2084,0.1734,20.10,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_351232.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:14:46.441807|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
466ae404a5f8cb08,98f22734a169e95c8b4caac41acadbbd50e6017b2760e79f2e823bfa6e4d210d,academy_3_vs_1_with_keeper,MAPPO,401408,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2070,0.1736,16.10,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_401408.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:18:29.485677|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
cbb776d35c77b108,f9baf7a48ea04b37cf19bfe24d5ce3034e5a6f56338770eac943be08fcd20543,academy_3_vs_1_with_keeper,MAPPO,451584,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2161,0.1727,23.00,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_451584.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:22:09.900985|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
c191aa8509611f32,cb28f41d578d966af2f3038efa3c2f7dc8c8f7705fe2a3385ca437cffc13bafd,academy_3_vs_1_with_keeper,MAPPO,499968,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.2357,0.1698,10.72,100.00,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_shotquality.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T08:25:43.316870|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_shotquality.pt --seed 42,932ea915100f
